ticket_id,customer_id,interaction_type,issue_type,status,created_at,resolved_at,agent_id,satisfaction_score,transcript_text,source_system,ingestion_timestamp
TICKET_000001,CUST_0001,Email,Billing Inquiry,Resolved,2025-10-18 22:12:41,2025-10-27 22:12:41,AGENT_214,4,Customer reported issue with login functionality. Provided troubleshooting steps.,Zendesk,2025-10-21 22:12:41
TICKET_000002,CUST_0001,Email,Technical Support,Resolved,2025-07-10 22:12:41,2025-07-11 22:12:41,AGENT_695,4,Feature request for additional reporting capabilities. Escalated to product team.,Zendesk,2025-10-21 22:12:41
TICKET_000003,CUST_0001,Chat,Bug Report,Resolved,2025-08-10 22:12:41,2025-08-13 22:12:41,AGENT_910,5,Customer reported issue with login functionality. Provided troubleshooting steps.,LiveChat,2025-10-21 22:12:41
TICKET_000004,CUST_0001,Email,Account Issue,Resolved,2025-06-20 22:12:41,2025-06-25 22:12:41,AGENT_652,5,Technical support for integration issues. Provided API documentation.,Zendesk,2025-10-21 22:12:41
TICKET_000005,CUST_0001,Chat,Feature Request,Resolved,2025-09-07 22:12:41,2025-09-11 22:12:41,AGENT_153,4,Customer reported issue with login functionality. Provided troubleshooting steps.,Intercom,2025-10-21 22:12:41
TICKET_000006,CUST_0002,Self-service,Bug Report,Resolved,2025-06-27 22:12:41,2025-07-07 22:12:41,AGENT_977,4,Account access problem. Reset password and verified account status.,Intercom,2025-10-21 22:12:41
TICKET_000007,CUST_0002,Email,Technical Support,Open,2025-08-16 22:12:41,,AGENT_531,1,Customer reported issue with login functionality. Provided troubleshooting steps.,Zendesk,2025-10-21 22:12:41
TICKET_000008,CUST_0003,Call,Feature Request,Resolved,2025-08-27 22:12:41,2025-08-30 22:12:41,AGENT_441,4,Billing inquiry regarding recent charges. Explained pricing structure.,LiveChat,2025-10-21 22:12:41
TICKET_000009,CUST_0003,Self-service,Technical Support,Resolved,2025-08-20 22:12:41,2025-08-30 22:12:41,AGENT_387,3,Account access problem. Reset password and verified account status.,Support_System,2025-10-21 22:12:41
TICKET_000010,CUST_0003,Chat,Account Issue,Resolved,2025-08-20 22:12:41,2025-08-30 22:12:41,AGENT_256,3,Account access problem. Reset password and verified account status.,Intercom,2025-10-21 22:12:41
TICKET_000011,CUST_0006,Chat,Bug Report,Resolved,2025-06-15 22:12:41,2025-06-19 22:12:41,AGENT_396,5,Customer reported issue with login functionality. Provided troubleshooting steps.,Support_System,2025-10-21 22:12:41
TICKET_000012,CUST_0006,Chat,Technical Support,In Progress,2025-07-11 22:12:41,,AGENT_516,3,Account access problem. Reset password and verified account status.,LiveChat,2025-10-21 22:12:41
TICKET_000013,CUST_0006,Call,Bug Report,Resolved,2025-10-01 22:12:41,2025-10-09 22:12:41,AGENT_156,5,Billing inquiry regarding recent charges. Explained pricing structure.,Zendesk,2025-10-21 22:12:41
TICKET_000014,CUST_0006,Email,Feature Request,Resolved,2025-10-11 22:12:41,2025-10-23 22:12:41,AGENT_259,5,Feature request for additional reporting capabilities. Escalated to product team.,Support_System,2025-10-21 22:12:41
TICKET_000015,CUST_0006,Email,Billing Inquiry,Resolved,2025-07-05 22:12:41,2025-07-13 22:12:41,AGENT_517,5,Technical support for integration issues. Provided API documentation.,Intercom,2025-10-21 22:12:41
TICKET_000016,CUST_0007,Chat,Account Issue,Resolved,2025-05-06 22:12:41,2025-05-09 22:12:41,AGENT_418,5,Technical support for integration issues. Provided API documentation.,Intercom,2025-10-21 22:12:41
TICKET_000017,CUST_0008,Self-service,Bug Report,Resolved,2025-08-08 22:12:41,2025-08-09 22:12:41,AGENT_840,5,Feature request for additional reporting capabilities. Escalated to product team.,Intercom,2025-10-21 22:12:41
TICKET_000018,CUST_0008,Call,Bug Report,Resolved,2025-08-27 22:12:41,2025-09-07 22:12:41,AGENT_925,5,Feature request for additional reporting capabilities. Escalated to product team.,Intercom,2025-10-21 22:12:41
TICKET_000019,CUST_0008,Chat,Billing Inquiry,Resolved,2025-05-22 22:12:41,2025-05-27 22:12:41,AGENT_588,4,Customer reported issue with login functionality. Provided troubleshooting steps.,LiveChat,2025-10-21 22:12:41
TICKET_000020,CUST_0008,Call,Billing Inquiry,Resolved,2025-08-01 22:12:41,2025-08-10 22:12:41,AGENT_315,5,Technical support for integration issues. Provided API documentation.,Intercom,2025-10-21 22:12:41
TICKET_000021,CUST_0008,Self-service,Account Issue,Resolved,2025-07-22 22:12:41,2025-07-30 22:12:41,AGENT_188,5,Account access problem. Reset password and verified account status.,Support_System,2025-10-21 22:12:41
TICKET_000022,CUST_0009,Email,Technical Support,Resolved,2025-06-28 22:12:41,2025-07-09 22:12:41,AGENT_196,4,Feature request for additional reporting capabilities. Escalated to product team.,Intercom,2025-10-21 22:12:41
TICKET_000023,CUST_0009,Email,Billing Inquiry,Resolved,2025-09-21 22:12:41,2025-09-29 22:12:41,AGENT_181,5,Customer reported issue with login functionality. Provided troubleshooting steps.,Intercom,2025-10-21 22:12:41
TICKET_000024,CUST_0009,Call,Technical Support,In Progress,2025-09-26 22:12:41,,AGENT_698,2,Account access problem. Reset password and verified account status.,Zendesk,2025-10-21 22:12:41
TICKET_000025,CUST_0009,Chat,Bug Report,Resolved,2025-05-26 22:12:41,2025-06-01 22:12:41,AGENT_673,4,Billing inquiry regarding recent charges. Explained pricing structure.,LiveChat,2025-10-21 22:12:41
TICKET_000026,CUST_0009,Self-service,Bug Report,Resolved,2025-09-29 22:12:41,2025-10-02 22:12:41,AGENT_840,3,Account access problem. Reset password and verified account status.,LiveChat,2025-10-21 22:12:41
TICKET_000027,CUST_0009,Call,Feature Request,Resolved,2025-07-09 22:12:41,2025-07-12 22:12:41,AGENT_808,5,Account access problem. Reset password and verified account status.,Intercom,2025-10-21 22:12:41
TICKET_000028,CUST_0009,Self-service,Bug Report,Resolved,2025-10-17 22:12:41,2025-10-29 22:12:41,AGENT_626,4,Feature request for additional reporting capabilities. Escalated to product team.,Zendesk,2025-10-21 22:12:41
TICKET_000029,CUST_0009,Chat,Billing Inquiry,Resolved,2025-05-18 22:12:41,2025-05-23 22:12:41,AGENT_312,5,Billing inquiry regarding recent charges. Explained pricing structure.,Support_System,2025-10-21 22:12:41
TICKET_000030,CUST_0010,Chat,Account Issue,Open,2025-09-13 22:12:41,,AGENT_961,2,Billing inquiry regarding recent charges. Explained pricing structure.,Intercom,2025-10-21 22:12:41
TICKET_000031,CUST_0010,Call,Technical Support,Resolved,2025-08-20 22:12:41,2025-08-29 22:12:41,AGENT_449,5,Feature request for additional reporting capabilities. Escalated to product team.,LiveChat,2025-10-21 22:12:41
TICKET_000032,CUST_0011,Self-service,Account Issue,Resolved,2025-05-30 22:12:41,2025-06-13 22:12:41,AGENT_694,3,Account access problem. Reset password and verified account status.,Zendesk,2025-10-21 22:12:41
TICKET_000033,CUST_0011,Email,Billing Inquiry,Resolved,2025-07-06 22:12:41,2025-07-15 22:12:41,AGENT_490,3,Feature request for additional reporting capabilities. Escalated to product team.,Intercom,2025-10-21 22:12:41
TICKET_000034,CUST_0011,Email,Bug Report,Resolved,2025-06-27 22:12:41,2025-06-29 22:12:41,AGENT_535,5,Account access problem. Reset password and verified account status.,Zendesk,2025-10-21 22:12:41
TICKET_000035,CUST_0011,Call,Technical Support,Open,2025-07-11 22:12:41,,AGENT_191,1,Billing inquiry regarding recent charges. Explained pricing structure.,Support_System,2025-10-21 22:12:41
TICKET_000036,CUST_0011,Chat,Billing Inquiry,Resolved,2025-07-26 22:12:41,2025-08-02 22:12:41,AGENT_595,5,Technical support for integration issues. Provided API documentation.,Support_System,2025-10-21 22:12:41
TICKET_000037,CUST_0011,Chat,Billing Inquiry,In Progress,2025-08-15 22:12:41,,AGENT_451,2,Customer reported issue with login functionality. Provided troubleshooting steps.,Zendesk,2025-10-21 22:12:41
TICKET_000038,CUST_0011,Call,Feature Request,Resolved,2025-08-27 22:12:41,2025-08-31 22:12:41,AGENT_709,5,Account access problem. Reset password and verified account status.,LiveChat,2025-10-21 22:12:41
TICKET_000039,CUST_0012,Self-service,Account Issue,In Progress,2025-07-16 22:12:41,,AGENT_755,1,Account access problem. Reset password and verified account status.,LiveChat,2025-10-21 22:12:41
TICKET_000040,CUST_0012,Self-service,Account Issue,Resolved,2025-07-01 22:12:41,2025-07-07 22:12:41,AGENT_239,3,Technical support for integration issues. Provided API documentation.,Intercom,2025-10-21 22:12:41
TICKET_000041,CUST_0013,Email,Billing Inquiry,Resolved,2025-08-22 22:12:41,2025-08-30 22:12:41,AGENT_845,5,Feature request for additional reporting capabilities. Escalated to product team.,Intercom,2025-10-21 22:12:41
TICKET_000042,CUST_0013,Email,Account Issue,Resolved,2025-10-02 22:12:41,2025-10-08 22:12:41,AGENT_348,3,Technical support for integration issues. Provided API documentation.,Zendesk,2025-10-21 22:12:41
TICKET_000043,CUST_0014,Self-service,Account Issue,Resolved,2025-04-30 22:12:41,2025-05-04 22:12:41,AGENT_582,4,Technical support for integration issues. Provided API documentation.,Intercom,2025-10-21 22:12:41
TICKET_000044,CUST_0014,Call,Bug Report,Resolved,2025-09-19 22:12:41,2025-10-03 22:12:41,AGENT_312,3,Technical support for integration issues. Provided API documentation.,LiveChat,2025-10-21 22:12:41
TICKET_000045,CUST_0014,Call,Feature Request,Resolved,2025-08-27 22:12:41,2025-09-05 22:12:41,AGENT_772,3,Billing inquiry regarding recent charges. Explained pricing structure.,LiveChat,2025-10-21 22:12:41
TICKET_000046,CUST_0014,Email,Billing Inquiry,Resolved,2025-07-08 22:12:41,2025-07-09 22:12:41,AGENT_691,3,Feature request for additional reporting capabilities. Escalated to product team.,Support_System,2025-10-21 22:12:41
TICKET_000047,CUST_0015,Chat,Bug Report,Resolved,2025-07-22 22:12:41,2025-08-02 22:12:41,AGENT_841,3,Feature request for additional reporting capabilities. Escalated to product team.,Zendesk,2025-10-21 22:12:41
TICKET_000048,CUST_0015,Chat,Technical Support,Resolved,2025-10-18 22:12:41,2025-10-24 22:12:41,AGENT_469,3,Customer reported issue with login functionality. Provided troubleshooting steps.,Zendesk,2025-10-21 22:12:41
TICKET_000049,CUST_0015,Email,Account Issue,Resolved,2025-10-14 22:12:41,2025-10-27 22:12:41,AGENT_714,5,Technical support for integration issues. Provided API documentation.,Intercom,2025-10-21 22:12:41
TICKET_000050,CUST_0015,Self-service,Account Issue,Resolved,2025-08-29 22:12:41,2025-09-01 22:12:41,AGENT_649,3,Technical support for integration issues. Provided API documentation.,LiveChat,2025-10-21 22:12:41
TICKET_000051,CUST_0015,Email,Billing Inquiry,Resolved,2025-06-30 22:12:41,2025-07-11 22:12:41,AGENT_554,5,Account access problem. Reset password and verified account status.,Support_System,2025-10-21 22:12:41
TICKET_000052,CUST_0015,Email,Account Issue,Resolved,2025-07-21 22:12:41,2025-08-01 22:12:41,AGENT_535,4,Technical support for integration issues. Provided API documentation.,Support_System,2025-10-21 22:12:41
TICKET_000053,CUST_0015,Chat,Account Issue,Resolved,2025-08-18 22:12:41,2025-08-23 22:12:41,AGENT_570,3,Technical support for integration issues. Provided API documentation.,Intercom,2025-10-21 22:12:41
TICKET_000054,CUST_0016,Email,Feature Request,Resolved,2025-10-17 22:12:41,2025-10-23 22:12:41,AGENT_432,3,Billing inquiry regarding recent charges. Explained pricing structure.,LiveChat,2025-10-21 22:12:41
TICKET_000055,CUST_0016,Email,Billing Inquiry,Resolved,2025-09-07 22:12:41,2025-09-10 22:12:41,AGENT_861,3,Account access problem. Reset password and verified account status.,Support_System,2025-10-21 22:12:41
TICKET_000056,CUST_0016,Self-service,Bug Report,Resolved,2025-08-13 22:12:41,2025-08-15 22:12:41,AGENT_320,3,Billing inquiry regarding recent charges. Explained pricing structure.,LiveChat,2025-10-21 22:12:41
TICKET_000057,CUST_0016,Call,Billing Inquiry,Resolved,2025-09-16 22:12:41,2025-09-29 22:12:41,AGENT_255,4,Billing inquiry regarding recent charges. Explained pricing structure.,LiveChat,2025-10-21 22:12:41
