transaction_id,customer_id,transaction_date,amount,currency,payment_method,product_id,product_name,quantity,transaction_type,source_system,ingestion_timestamp
TXN_000001,CUST_0001,2025-10-12 22:12:41,357.97,USD,Credit Card,PROD_1984,Software License,4,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000002,CUST_0001,2025-09-18 22:12:41,440.6,USD,Credit Card,PROD_4287,Software License,4,Upgrade,Sales_System,2025-10-21 22:12:41
TXN_000003,CUST_0001,2025-09-01 22:12:41,162.6,USD,Credit Card,PROD_8065,Consulting,1,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000004,CUST_0001,2025-08-04 22:12:41,327.45,USD,PayPal,PROD_2194,Consulting,3,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000005,CUST_0001,2025-08-09 22:12:41,225.46,USD,PayPal,PROD_3438,Consulting,1,Subscription Payment,Sales_System,2025-10-21 22:12:41
TXN_000006,CUST_0001,2025-08-01 22:12:41,239.2,USD,Credit Card,PROD_6403,Software License,4,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000007,CUST_0001,2025-08-09 22:12:41,230.35,USD,Credit Card,PROD_2148,Consulting,4,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000008,CUST_0001,2025-09-23 22:12:41,207.53,USD,Credit Card,PROD_6880,Consulting,1,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000009,CUST_0001,2025-09-13 22:12:41,284.21,USD,Credit Card,PROD_6571,Software License,3,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000010,CUST_0001,2025-08-24 22:12:41,210.3,USD,PayPal,PROD_1644,Training,2,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000011,CUST_0001,2025-09-27 22:12:41,302.86,USD,Credit Card,PROD_6886,Consulting,1,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000012,CUST_0001,2025-10-11 22:12:41,275.91,USD,PayPal,PROD_4163,Consulting,2,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000013,CUST_0001,2025-08-07 22:12:41,260.05,USD,Credit Card,PROD_6041,Consulting,1,Subscription Payment,ECommerce_API,2025-10-21 22:12:41
TXN_000014,CUST_0001,2025-08-14 22:12:41,203.86,USD,Bank Transfer,PROD_1918,Consulting,1,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000015,CUST_0001,2025-10-16 22:12:41,231.66,USD,Credit Card,PROD_9791,Support Package,5,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000016,CUST_0002,2025-10-17 22:12:41,916.74,USD,PayPal,PROD_1750,Consulting,1,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000017,CUST_0002,2025-07-24 22:12:41,859.68,USD,PayPal,PROD_6035,Software License,2,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000018,CUST_0002,2025-08-24 22:12:41,528.19,USD,PayPal,PROD_2742,Add-on Module,1,Subscription Payment,Billing_Platform,2025-10-21 22:12:41
TXN_000019,CUST_0002,2025-08-19 22:12:41,769.64,USD,Credit Card,PROD_4320,Add-on Module,2,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000020,CUST_0002,2025-09-08 22:12:41,915.84,USD,PayPal,PROD_9943,Consulting,3,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000021,CUST_0002,2025-09-10 22:12:41,373.07,USD,PayPal,PROD_6496,Support Package,1,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000022,CUST_0002,2025-10-06 22:12:41,869.2,USD,Credit Card,PROD_3703,Consulting,2,Purchase,ECommerce_API,2025-10-21 22:12:41
TXN_000023,CUST_0002,2025-09-20 22:12:41,598.8,USD,Bank Transfer,PROD_7162,Software License,2,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000024,CUST_0002,2025-10-19 22:12:41,875.31,USD,PayPal,PROD_2460,Software License,1,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000025,CUST_0002,2025-07-30 22:12:41,576.24,USD,Credit Card,PROD_8798,Training,4,Purchase,Sales_System,2025-10-21 22:12:41
TXN_000026,CUST_0002,2025-10-05 22:12:41,342.7,USD,Credit Card,PROD_4919,Training,5,Purchase,Billing_Platform,2025-10-21 22:12:41
TXN_000027,CUST_0002,2025-08-04 22:12:41,382.46,USD,PayPal,PROD_2442,Add-on Module,2,Subscription Payment,Sales_System,2025-10-21 22:12:41
TXN_000028,CUST_0003,2025-08-21 22:12:41,83.81,USD,Credit Card,PROD_2567,Support Package,1,Upgrade,Sales_System,2025-10-21 22:12:41
