survey_response_id,customer_id,response_date,nps_score,comments,question_id,question_text,response_text,survey_type,source_system,ingestion_timestamp
SURVEY_000001,CUST_0001,2025-07-28 22:12:41,10,Outstanding support and features.,Q_4,How would you rate our customer support?,Very likely to recommend,NPS,InApp_Survey,2025-10-21 22:12:41
SURVEY_000002,CUST_0001,2025-09-27 22:12:41,8,Generally happy with the service.,Q_7,What is your overall satisfaction with our service?,Somewhat likely to recommend,Onboarding Survey,InApp_Survey,2025-10-21 22:12:41
SURVEY_000003,CUST_0001,2025-10-14 22:12:41,8,Generally happy with the service.,Q_4,What is your overall satisfaction with our service?,Somewhat likely to recommend,Product Feedback,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000004,CUST_0002,2025-08-28 22:12:41,8,"Satisfied with most features, minor issues.",Q_9,How likely are you to recommend our product?,Somewhat likely to recommend,Support Satisfaction,Qualtrics,2025-10-21 22:12:41
SURVEY_000005,CUST_0002,2025-09-25 22:12:41,10,Outstanding support and features.,Q_7,What features would you like to see improved?,Very likely to recommend,Onboarding Survey,Qualtrics,2025-10-21 22:12:41
SURVEY_000006,CUST_0002,2025-08-06 22:12:41,8,"Good product overall, some areas for improvement.",Q_2,What is your overall satisfaction with our service?,Somewhat likely to recommend,Support Satisfaction,Qualtrics,2025-10-21 22:12:41
SURVEY_000007,CUST_0004,2025-08-01 22:12:41,10,"Excellent product, very satisfied with the service.",Q_4,How would you rate our customer support?,Very likely to recommend,Onboarding Survey,Email_Survey,2025-10-21 22:12:41
SURVEY_000008,CUST_0004,2025-08-28 22:12:41,8,Good platform with room for enhancement.,Q_3,How likely are you to recommend our product?,Somewhat likely to recommend,Onboarding Survey,Qualtrics,2025-10-21 22:12:41
SURVEY_000009,CUST_0005,2025-09-06 22:12:41,10,Outstanding support and features.,Q_2,How likely are you to recommend our product?,Very likely to recommend,Product Feedback,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000010,CUST_0006,2025-09-30 22:12:41,8,"Satisfied with most features, minor issues.",Q_7,How likely are you to recommend our product?,Somewhat likely to recommend,NPS,InApp_Survey,2025-10-21 22:12:41
SURVEY_000011,CUST_0006,2025-09-13 22:12:41,7,Good platform with room for enhancement.,Q_7,How would you rate our customer support?,Somewhat likely to recommend,Support Satisfaction,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000012,CUST_0007,2025-08-28 22:12:41,9,"Great experience, would definitely recommend.",Q_6,What is your overall satisfaction with our service?,Very likely to recommend,NPS,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000013,CUST_0008,2025-09-26 22:12:41,9,"Excellent product, very satisfied with the service.",Q_5,What features would you like to see improved?,Very likely to recommend,Onboarding Survey,Email_Survey,2025-10-21 22:12:41
SURVEY_000014,CUST_0009,2025-07-30 22:12:41,6,Not fully satisfied with the current features.,Q_9,What is your overall satisfaction with our service?,Not likely to recommend,Onboarding Survey,Email_Survey,2025-10-21 22:12:41
SURVEY_000015,CUST_0009,2025-09-27 22:12:41,6,Experiencing some issues with the platform.,Q_7,What features would you like to see improved?,Not likely to recommend,Onboarding Survey,InApp_Survey,2025-10-21 22:12:41
SURVEY_000016,CUST_0010,2025-08-23 22:12:41,7,"Good product overall, some areas for improvement.",Q_6,How would you rate our customer support?,Somewhat likely to recommend,Support Satisfaction,InApp_Survey,2025-10-21 22:12:41
SURVEY_000017,CUST_0010,2025-09-09 22:12:41,8,"Satisfied with most features, minor issues.",Q_8,What features would you like to see improved?,Somewhat likely to recommend,Onboarding Survey,InApp_Survey,2025-10-21 22:12:41
SURVEY_000018,CUST_0011,2025-08-07 22:12:41,5,Not fully satisfied with the current features.,Q_7,How likely are you to recommend our product?,Not likely to recommend,Onboarding Survey,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000019,CUST_0012,2025-10-03 22:12:41,3,Not fully satisfied with the current features.,Q_3,How would you rate our customer support?,Not likely to recommend,Onboarding Survey,SurveyMonkey,2025-10-21 22:12:41
SURVEY_000020,CUST_0013,2025-09-23 22:12:41,4,Product needs improvement in several areas.,Q_9,How likely are you to recommend our product?,Not likely to recommend,Product Feedback,InApp_Survey,2025-10-21 22:12:41
SURVEY_000021,CUST_0013,2025-09-27 22:12:41,3,Having trouble with support response times.,Q_6,How would you rate our customer support?,Not likely to recommend,Support Satisfaction,InApp_Survey,2025-10-21 22:12:41
SURVEY_000022,CUST_0015,2025-09-10 22:12:41,4,Product needs improvement in several areas.,Q_10,What is your overall satisfaction with our service?,Not likely to recommend,NPS,SurveyMonkey,2025-10-21 22:12:41
